Artist,Album,Track,Date#AdriannaCr,Date#Alchedoc,Date#AngelTrejo_,Date#AtomicAxe,Date#Benjigoo,Date#BlastFMCountry,Date#BoHa1,Date#BobWiggles,Date#Corasan13805,Date#Cosmunn,Date#DKjapanesefreak,Date#Density_Live,Date#Fishyyyyy,Date#Fp_motta,Date#Hasayo,Date#HongerigeKameel,Date#Joakssss,Date#Kimnikole,Date#Lackie_Chan,Date#Lavark99,Date#Mezque,Date#MurpWrld,Date#Nachoneitor,Date#Sadissst,Date#SaltyKoci,Date#Sorryaint,Date#Sr_Jones,Date#StateOfSwift,Date#SubatomicScale,Date#Tech_Jet,Date#WH1TEHOTFOREVER,Date#aada8m,Date#aliliths,Date#axtt,Date#babyrager,Date#bigmoneymusic,Date#boruelis,Date#boyinzanark,Date#cammiepscott,Date#cartiSLAY3R,Date#cclyr,Date#chicaaaaa_,Date#dombuq,Date#dupahisoki123,Date#egk9400,Date#equinoxfeatures,Date#ethanlistensong,Date#fairyem,Date#flayn,Date#flumszy,Date#fr0ggytime,Date#gabzrel,Date#giovanni-,Date#gr8cs,Date#gtlaserbeast,Date#harshvpant,Date#helenabrito399,Date#hongdang47,Date#hydroxide_kid,Date#iamjanessa,Date#ithinkithinki,Date#jackjoxo,Date#joaodellepiane,Date#joswdl,Date#lanelannan,Date#ldrxcx,Date#lemonade_lover,Date#lil_weirdo,Date#lorcan_,Date#luceciiito,Date#magn3191,Date#mathboy9,Date#mattchew_,Date#mattvp73,Date#michas_szef,Date#milky_heaven,Date#mitchdelaney,Date#mqtchh,Date#obototo,Date#okayuzi,Date#okayykriss,Date#parisxtun,Date#ramsesCEO,Date#realtrixer,Date#ronvoter,Date#rxcvia,Date#seemliness,Date#sheetmetalangel,Date#silent_partner_,Date#snivy_09,Date#spawnagainfreak,Date#teukfanboy,Date#tiAgoaa,Date#turbatio,Date#usur_disc350,Date#willdomke,Date#worldstarclass,Date#xscronyx,Date#yonnerz_,"TV Girl,French Exit,Hate Yourself,28 Feb 2023 23:17",Unnamed: 0
100 gecs,1000 gecs,hand crushed by a mallet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
100 gecs,1000 gecs,money machine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs,ringtone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs,xXXi_wud_nvrstøp_ÜXXx,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs and The Tree of Clues,745 sticky (Black Dresses Remix),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs and The Tree of Clues,745 sticky (Injury Reserve Remix),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs and The Tree of Clues,800db cloud (Ricco Harver Remix),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs and The Tree of Clues,came to my show,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs and The Tree of Clues,came to my show - intro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100 gecs,1000 gecs and The Tree of Clues,gec 2 Ü (Danny L Harle Harlecore Remix),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42
